"V1","V2"
1105,177
1112,170
1119,176
1116,187
1138,158
1139,169
1132,176
1126,170
1129,159
1060,178
1067,172
1074,178
1073,189
1064,189
1089,177
1081,171
1080,158
1088,151
1097,157
1097,170
1022,182
1031,181
1032,190
1023,191
1053,172
1046,178
1037,174
1032,166
1035,157
1044,152
1051,158
980,196
973,190
979,182
990,184
991,193
1018,166
1015,176
1006,181
997,177
992,168
998,160
1011,160
939,199
933,192
939,185
953,184
959,190
953,198
978,168
972,175
959,176
952,169
958,161
972,161
899,204
892,197
899,189
912,187
919,194
913,202
919,179
912,172
919,164
932,163
939,170
933,178
858,212
851,206
857,196
871,193
878,200
871,209
877,184
870,177
877,168
891,166
898,173
891,182
819,224
812,217
817,206
830,203
837,210
832,220
836,192
829,186
834,176
848,173
856,179
849,189
794,212
800,219
796,230
787,232
781,224
784,214
798,202
791,194
795,184
807,182
815,189
810,199
769,235
760,237
754,228
757,219
767,217
772,226
767,190
776,188
782,196
779,206
770,208
764,199
722,232
726,222
737,221
743,230
740,239
729,241
751,210
741,212
734,203
738,193
749,192
755,201
710,233
704,243
688,243
680,235
687,225
702,224
724,204
720,214
708,215
701,206
706,196
717,195
627,234
636,226
654,226
662,235
654,244
637,244
662,217
653,208
662,199
678,198
686,207
679,217
583,223
592,215
603,221
610,233
601,242
587,238
612,202
627,199
636,208
627,217
612,213
530,218
538,211
548,220
545,233
534,232
556,196
564,188
574,197
574,214
566,222
556,213
477,212
486,206
495,214
492,226
480,224
503,193
511,186
520,194
521,209
513,216
503,208
424,205
433,200
442,208
439,218
428,216
450,189
459,183
468,191
468,204
459,210
450,203
374,195
382,192
390,199
388,207
377,204
398,184
407,179
415,186
416,198
407,202
399,195
342,184
340,189
335,179
350,174
357,172
366,178
366,188
358,190
350,183
319,164
315,158
318,153
323,155
324,162
328,149
326,143
332,138
340,140
341,147
334,151
379,131
388,135
389,146
380,151
372,146
371,137
364,151
364,160
357,163
349,158
348,151
356,147
430,125
439,131
440,144
431,150
423,144
422,132
397,151
406,145
414,150
415,162
406,168
398,162
483,120
492,126
492,141
484,148
475,142
474,128
449,150
457,143
466,149
467,163
458,170
449,163
535,115
544,122
545,139
536,147
527,139
527,123
501,148
510,140
519,147
519,163
511,170
502,163
588,111
600,116
607,128
601,139
590,145
580,137
580,120
554,146
562,138
572,146
572,163
564,171
554,163
648,121
648,133
634,136
624,127
633,118
611,148
625,145
634,154
626,163
611,160
698,105
709,113
712,128
703,135
690,130
688,115
661,162
652,154
657,141
669,135
680,140
686,152
678,161
780,115
775,125
763,129
754,124
752,109
760,99
772,104
748,149
749,143
760,138
768,143
766,153
757,154
743,156
